CHR	GENE_ID	GENE_NAME	SUBJECT_ID	tissue_num	data_pvalues	data_qvalues	data_lfdr	z_score	RME_effect	mosaic_category	is_significant
10	ENSG00000198825.12	INPP5F	GTEX-YFC4	34	0	0	1.62E-06	4.450350188	frequent_RME	Autosome	TRUE
11	ENSG00000167244.18	IGF2	GTEX-YFC4	31	0	0	1.62E-06	5.26754073	frequent_RME	Autosome	TRUE
11	ENSG00000244734.3	HBB	GTEX-YFC4	34	0	0	1.62E-06	4.353829465	frequent_RME	Autosome	TRUE
15	ENSG00000224078.13	SNHG14	GTEX-YFC4	34	0	0	1.62E-06	2.795049236	frequent_RME	Autosome	TRUE
15	ENSG00000137801.10	THBS1	GTEX-YFC4	34	0	0	1.62E-06	4.691591902	frequent_RME	Autosome	TRUE
16	ENSG00000261172.1	RP11-356C4.5	GTEX-YFC4	34	0	0	1.62E-06	4.635975166	frequent_RME	Autosome	TRUE
1	ENSG00000117115.12	PADI2	GTEX-YFC4	32	2.02E-303	2.86E-300	1.62E-06	3.041830725	frequent_RME	Autosome	TRUE
11	ENSG00000185201.16	IFITM2	GTEX-YFC4	34	4.16E-292	5.30E-289	1.62E-06	4.976634449	frequent_RME	Autosome	TRUE
6	ENSG00000206503.12	HLA-A	GTEX-YFC4	34	2.53E-276	2.69E-273	1.62E-06	5.412022306	frequent_RME	Autosome	TRUE
21	ENSG00000182871.14	COL18A1	GTEX-YFC4	34	5.91E-275	5.79E-272	1.62E-06	4.793030989	frequent_RME	Autosome	TRUE
6	ENSG00000179344.16	HLA-DQB1	GTEX-YFC4	30	7.10E-253	6.46E-250	1.62E-06	5.009909667	frequent_RME	Autosome	TRUE
15	ENSG00000114062.18	UBE3A	GTEX-YFC4	34	2.68E-250	2.28E-247	1.62E-06	0.966096253	private_RME	Autosome	TRUE
7	ENSG00000158623.14	COPG2	GTEX-YFC4	32	5.29E-239	4.21E-236	1.62E-06	4.931720464	frequent_RME	Autosome	TRUE
14	ENSG00000092054.12	MYH7	GTEX-YFC4	25	6.66E-211	4.99E-208	1.62E-06	2.549840579	frequent_RME	Autosome	TRUE
6	ENSG00000227766.1	HCG4P5	GTEX-YFC4	34	7.23E-210	5.12E-207	1.62E-06	5.21254084	frequent_RME	Autosome	TRUE
19	ENSG00000170889.13	RPS9	GTEX-YFC4	34	7.28E-178	4.64E-175	1.62E-06	3.344417012	frequent_RME	Autosome	TRUE
16	ENSG00000185615.15	PDIA2	GTEX-YFC4	24	3.49E-167	2.02E-164	1.62E-06	3.122545025	frequent_RME	Autosome	TRUE
17	ENSG00000184009.9	ACTG1	GTEX-YFC4	34	8.75E-149	4.85E-146	1.62E-06	4.793030989	frequent_RME	Autosome	TRUE
12	ENSG00000111341.9	MGP	GTEX-YFC4	34	1.09E-139	5.78E-137	1.62E-06	4.659910367	frequent_RME	Autosome	TRUE
12	ENSG00000182993.3	C12orf60	GTEX-YFC4	34	1.43E-139	7.30E-137	1.62E-06	2.779157554	frequent_RME	Autosome	TRUE
19	ENSG00000130844.16	ZNF331	GTEX-YFC4	34	2.16E-134	1.06E-131	1.62E-06	5.21058494	frequent_RME	Autosome	TRUE
10	ENSG00000283709.1	LINC00202-1	GTEX-YFC4	28	9.59E-131	4.53E-128	1.62E-06	1.989972784	common_RME	Autosome	TRUE
15	ENSG00000182253.14	SYNM	GTEX-YFC4	34	4.89E-122	2.22E-119	1.62E-06	5.177453191	frequent_RME	Autosome	TRUE
22	ENSG00000093072.15	CECR1	GTEX-YFC4	34	7.32E-122	3.22E-119	1.62E-06	3.592279902	frequent_RME	Autosome	TRUE
15	ENSG00000248905.8	FMN1	GTEX-YFC4	33	1.22E-120	5.19E-118	1.62E-06	1.46497343	common_RME	Autosome	TRUE
7	ENSG00000106070.17	GRB10	GTEX-YFC4	34	2.55E-113	1.05E-110	1.62E-06	3.532326245	frequent_RME	Autosome	TRUE
16	ENSG00000166473.17	PKD1L2	GTEX-YFC4	30	5.16E-112	2.05E-109	1.62E-06	2.644265216	frequent_RME	Autosome	TRUE
1	ENSG00000116791.13	CRYZ	GTEX-YFC4	34	1.12E-109	4.32E-107	1.62E-06	2.531610135	frequent_RME	Autosome	TRUE
6	ENSG00000203875.10	SNHG5	GTEX-YFC4	34	7.80E-105	2.92E-102	1.62E-06	3.456404005	frequent_RME	Autosome	TRUE
8	ENSG00000167632.14	TRAPPC9	GTEX-YFC4	33	7.40E-104	2.69E-101	1.62E-06	1.265606297	common_RME	Autosome	TRUE
6	ENSG00000204540.10	PSORS1C1	GTEX-YFC4	31	1.42E-103	5.04E-101	1.62E-06	4.745385314	frequent_RME	Autosome	TRUE
11	ENSG00000053918.15	KCNQ1	GTEX-YFC4	32	4.08E-102	1.37E-99	1.62E-06	4.709660556	frequent_RME	Autosome	TRUE
15	ENSG00000140416.19	TPM1	GTEX-YFC4	34	4.83E-88	1.54E-85	1.62E-06	3.957205172	frequent_RME	Autosome	TRUE
8	ENSG00000036448.9	MYOM2	GTEX-YFC4	34	1.66E-82	5.15E-80	1.62E-06	4.402016147	frequent_RME	Autosome	TRUE
6	ENSG00000204520.12	MICA	GTEX-YFC4	34	2.49E-82	7.56E-80	1.62E-06	3.542317362	frequent_RME	Autosome	TRUE
4	ENSG00000152583.12	SPARCL1	GTEX-YFC4	34	6.87E-82	2.03E-79	1.62E-06	3.869570404	frequent_RME	Autosome	TRUE
1	ENSG00000116133.11	DHCR24	GTEX-YFC4	34	1.82E-81	5.28E-79	1.62E-06	3.651573953	frequent_RME	Autosome	TRUE
10	ENSG00000121898.12	CPXM2	GTEX-YFC4	31	1.17E-80	3.30E-78	1.62E-06	2.400637547	frequent_RME	Autosome	TRUE
